Date,Type,Description,Amount,Category,Payment Method,Status,Reference,Receipt URL
2024-12-06,Income,Daniel Howard - Web Development,3567.18,,,received,,
2024-12-06,Expense,Neptune HX100G,-1295.83,computer_equipment,credit_card,paid,Minisforum,https://tmsappstorage.blob.core.windows.net/receipts/de9d50f5-6c8a-4a92-b9a1-b379034d8fdd.png
2024-12-05,Expense,Office365 Subscription,-15.99,software,credit_card,paid,Microsoft,https://tmsappstorage.blob.core.windows.net/receipts/a1b2c3d4-e5f6-7890-1234-56789abcdef0.png
2024-12-04,Income,Client Payment - Mobile App,2850.00,,,received,TechCorp,
2024-12-04,Expense,Adobe Creative Suite,-52.99,software,credit_card,paid,Adobe,https://tmsappstorage.blob.core.windows.net/receipts/f9e8d7c6-b5a4-3210-9876-543210fedcba.png
2024-12-03,Expense,Fuel for Vehicle,-89.45,fuel,credit_card,paid,Shell,https://tmsappstorage.blob.core.windows.net/receipts/12345678-9abc-def0-1234-56789abcdef0.png
2024-12-03,Expense,Business Lunch,-67.89,meals_entertainment,credit_card,paid,Restaurant ABC,https://tmsappstorage.blob.core.windows.net/receipts/abcdef12-3456-7890-abcd-ef1234567890.png
2024-12-02,Expense,Home Office Desk,-435.00,furniture,credit_card,paid,IKEA,https://tmsappstorage.blob.core.windows.net/receipts/98765432-10ab-cdef-9876-543210abcdef.png
2024-12-02,Expense,Internet Service,-79.99,telephone,credit_card,paid,Comcast,https://tmsappstorage.blob.core.windows.net/receipts/fedcba09-8765-4321-fedc-ba0987654321.png
2024-12-01,Income,Freelance Design Project,1850.00,,,received,Creative Studio,
2024-11-30,Expense,Legal Consultation,-350.00,professional_fees,credit_card,paid,Johnson Law,https://tmsappstorage.blob.core.windows.net/receipts/11223344-5566-7788-9900-aabbccddeeff.png
2024-11-29,Expense,Printer Paper & Supplies,-45.67,office_supplies,credit_card,paid,Staples,https://tmsappstorage.blob.core.windows.net/receipts/aabbccdd-eeff-1122-3344-556677889900.png
2024-11-28,Expense,Vehicle Maintenance,-285.50,vehicle_expenses,credit_card,paid,AutoShop Pro,https://tmsappstorage.blob.core.windows.net/receipts/ffeeddcc-bbaa-9988-7766-554433221100.png
2024-11-27,Expense,Coffee Shop Meeting,-18.75,meals_entertainment,credit_card,paid,Starbucks,https://tmsappstorage.blob.core.windows.net/receipts/00112233-4455-6677-8899-aabbccddeeff.png
2024-11-26,Income,Consulting Services,2200.00,,,received,TechStart Inc,
2024-11-25,Expense,Hardware Components,-165.99,hardware,credit_card,paid,Best Buy,https://tmsappstorage.blob.core.windows.net/receipts/ccddaabb-9988-7766-5544-332211009988.png
2024-11-24,Expense,Training Course,-299.00,training,credit_card,paid,Udemy,https://tmsappstorage.blob.core.windows.net/receipts/88776655-4433-2211-0099-887766554433.png
2024-11-23,Expense,Office Rent,-1200.00,rent,bank_transfer,paid,Property Management,
2024-11-22,Expense,Client Entertainment,-125.45,entertainment,credit_card,paid,Theater District,https://tmsappstorage.blob.core.windows.net/receipts/55443322-1100-9988-7766-554433221100.png
