Date,Type,Description,Amount,Category,Payment Method,Status,Reference,Receipt URL,year,month,quarter,day_of_month,day_of_week,day_of_year,week_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,days_since_epoch,days_from_start,days_to_end,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,is_business_day,business_day_of_month,season,is_spring,is_summer,is_fall,is_winter,amount_abs,amount_sign,is_income,is_expense,amount_log,amount_log_signed,amount_sqrt,amount_sqrt_signed,amount_squared,amount_cubed,amount_category,amount_percentile,amount_quartile,amount_rolling_mean_7d,amount_rolling_std_7d,amount_rolling_sum_7d,amount_rolling_min_7d,amount_rolling_max_7d,amount_rolling_volatility_7d,amount_rolling_mean_14d,amount_rolling_std_14d,amount_rolling_sum_14d,amount_rolling_min_14d,amount_rolling_max_14d,amount_rolling_volatility_14d,amount_rolling_mean_30d,amount_rolling_std_30d,amount_rolling_sum_30d,amount_rolling_min_30d,amount_rolling_max_30d,amount_rolling_volatility_30d,amount_expanding_mean,amount_expanding_std,amount_expanding_count,amount_zscore,amount_abs_zscore,amount_distance_from_mean,amount_distance_from_mean_abs,amount_cumulative_sum,amount_cumulative_abs_sum,running_balance,category_encoded,payment_method_encoded,status_encoded,type_encoded,category_frequency,category_frequency_pct,payment_method_frequency,payment_method_frequency_pct,status_frequency,status_frequency_pct,type_frequency,type_frequency_pct,is_pending,is_paid,is_received,category_is_unknown,category_is_software,category_is_fuel,category_is_meals_entertainment,category_is_office_supplies,category_is_travel,category_is_telephone,category_is_computer_equipment,category_is_supplies,category_is_training,payment_is_credit_card,payment_is_unknown,payment_is_bank_transfer,payment_is_other,payment_is_credit_car,amount_lag_1,amount_abs_lag_1,amount_lag_2,amount_abs_lag_2,amount_lag_3,amount_abs_lag_3,amount_lag_7,amount_abs_lag_7,days_since_last,days_since_last_capped,transaction_count_last_7d,transaction_count_last_30d,spending_velocity_7d,spending_velocity_30d,category_streak,payment_method_streak,days_since_same_category,days_since_same_payment,days_since_same_amount_range,category_running_total,category_running_count,amount_trend_3,amount_trend_7,amount_x_day_of_week,amount_x_month,amount_x_is_weekend,category_encoded_x_month,category_encoded_x_day_of_week
2024-08-06,Expense,Office Equipment Repair,-175.0,repairs,credit_card,paid,TechRepair Pro,https://tmsappstorage.blob.core.windows.net/receipts/00998877-6655-4433-2211-009988776655.png,2024,8,3,6,1,219,32,0,0,0,0,0,19941,0,122,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.5856957398073508,-0.8105309990194823,1,4,Summer,0,1,0,0,175.0,-1.0,0,1,5.170483995038151,-5.170483995038151,13.228756555322953,-13.228756555322953,30625.0,-5359375.0,small,0.5787401574803149,Q3,-175.0,0.0,-175.0,-175.0,-175.0,0.0,-175.0,0.0,-175.0,-175.0,-175.0,0.0,-175.0,0.0,-175.0,-175.0,-175.0,0.0,-175.0,0.0,1.0,-0.49245020265847794,0.49245020265847794,0.0,0.0,-175.0,175.0,-175.0,15,3,0,0,3,2.3622047244094486,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,-175.0,-175.0,1,1,-1,-1,-1,-175.0,1,-7.1125000000000504,8.616785714285708,175.0,1400.0,0.0,120,15
2024-08-07,Expense,Fuel for Client Visits,-89.23,fuel,credit_card,paid,Exxon,https://tmsappstorage.blob.core.windows.net/receipts/33221100-9988-7766-5544-332211009988.png,2024,8,3,7,2,220,32,0,0,0,0,0,19942,1,121,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.5995514915196489,-0.8003361849976323,1,5,Summer,0,1,0,0,89.23,-1.0,0,1,4.50236196600641,-4.50236196600641,9.446163242290492,-9.446163242290492,7961.992900000001,-710448.6264670001,small,0.3661417322834646,Q2,-132.115,60.64854862237018,-264.23,-175.0,-89.23,0.4590587641249682,-132.115,60.64854862237018,-264.23,-175.0,-89.23,0.4590587641249682,-132.115,60.64854862237018,-264.23,-175.0,-89.23,0.4590587641249682,-132.115,60.64854862237018,2.0,-0.4167077229156639,0.4167077229156639,42.885000000000005,42.885000000000005,-264.23,264.23,-264.23,5,3,0,0,9,7.086614173228346,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,30.0,-264.23,-264.23,1,2,-1,1,1,-89.23,1,85.76999999999998,85.76999999999998,178.46,713.84,0.0,40,10
2024-08-08,Expense,Software License Renewal,-399.0,software,credit_card,paid,IntelliJ IDEA,https://tmsappstorage.blob.core.windows.net/receipts/66554433-2211-0099-8877-665544332211.png,2024,8,3,8,3,221,32,0,0,0,0,0,19943,2,120,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.6132298262997502,-0.7899045386224707,1,6,Summer,0,1,0,0,399.0,-1.0,0,1,5.991464547107982,-5.991464547107982,19.974984355438178,-19.974984355438178,159201.0,-63521199.0,medium,0.7401574803149606,Q3,-221.07666666666668,159.94266983307904,-663.23,-399.0,-89.23,0.7234715098822989,-221.07666666666668,159.94266983307904,-663.23,-399.0,-89.23,0.7234715098822989,-221.07666666666668,159.94266983307904,-663.23,-399.0,-89.23,0.7234715098822989,-221.07666666666668,159.94266983307904,3.0,-0.6902619720695815,0.6902619720695815,-177.92333333333332,177.92333333333332,-663.23,663.23,-663.23,16,3,0,0,15,11.811023622047244,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.23,89.23,-175.0,175.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,30.0,-663.23,-663.23,1,3,-1,1,-1,-399.0,1,-112.00000000000006,-112.00000000000006,1197.0,3192.0,0.0,128,48
2024-08-09,Income,Custom Integration Project,3275.0,Unknown,Unknown,received,Enterprise Client,Unknown,2024,8,3,9,4,222,32,0,0,0,0,0,19944,3,119,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.6267266965083301,-0.7792391467859886,1,7,Summer,0,1,0,0,3275.0,1.0,1,0,8.09437844497296,8.09437844497296,57.227615711297986,57.227615711297986,10725625.0,35126421875.0,xlarge,0.968503937007874,Q4,652.9425,1752.909710517059,2611.77,-399.0,3275.0,2.6846310517649856,652.9425,1752.909710517059,2611.77,-399.0,3275.0,2.6846310517649856,652.9425,1752.909710517059,2611.77,-399.0,3275.0,2.6846310517649856,652.9425,1752.909710517059,4.0,2.5542042815750374,2.5542042815750374,2622.0575,2622.0575,2611.77,3938.23,2611.77,0,0,1,1,27,21.25984251968504,27,21.25984251968504,27,21.25984251968504,27,21.25984251968504,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-399.0,399.0,-89.23,89.23,-175.0,175.0,0.0,0.0,1.0,1.0,7.0,30.0,2611.77,2611.77,1,1,-1,-1,-1,3275.0,1,1682.1150000000002,1004.0229999999999,13100.0,26200.0,0.0,0,0
2024-08-10,Expense,Office Supply Restocking,-156.78,office_supplies,credit_card,paid,OfficeMax,https://tmsappstorage.blob.core.windows.net/receipts/99887766-5544-3322-1100-998877665544.png,2024,8,3,10,5,223,32,1,0,0,0,0,19945,4,118,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.6400381082043503,-0.7683431655492202,0,8,Summer,0,1,0,0,156.78,-1.0,0,1,5.061201657666944,-5.061201657666944,12.521182052825523,-12.521182052825523,24579.9684,-3853647.445752,small,0.547244094488189,Q3,490.99799999999993,1560.6567352624343,2454.99,-399.0,3275.0,3.178539902937353,490.99799999999993,1560.6567352624343,2454.99,-399.0,3275.0,3.178539902937353,490.99799999999993,1560.6567352624343,2454.99,-399.0,3275.0,3.178539902937353,490.99799999999993,1560.6567352624343,5.0,-0.47636033462869976,0.47636033462869976,-647.7779999999999,647.7779999999999,2454.99,4095.01,2454.99,11,3,0,0,6,4.724409448818897,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3275.0,3275.0,-399.0,399.0,-89.23,89.23,0.0,0.0,1.0,1.0,7.0,30.0,2454.99,2454.99,1,1,-1,2,3,-156.78,1,121.11000000000013,340.0670000000001,783.9,1254.24,156.78,88,55
2024-08-11,Expense,Parking for Conference,-35.0,travel,credit_card,paid,Conference Center,https://tmsappstorage.blob.core.windows.net/receipts/22110099-8877-6655-4433-221100998877.png,2024,8,3,11,6,224,32,1,0,0,0,0,19946,5,117,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.65316012232693,-0.7572198192083127,0,8,Summer,0,1,0,0,35.0,-1.0,0,1,3.58351893845611,-3.58351893845611,5.916079783099616,-5.916079783099616,1225.0,-42875.0,micro,0.13385826771653545,Q1,403.33166666666665,1412.3143673618374,2419.99,-399.0,3275.0,3.501620338997692,403.33166666666665,1412.3143673618374,2419.99,-399.0,3275.0,3.501620338997692,403.33166666666665,1412.3143673618374,2419.99,-399.0,3275.0,3.501620338997692,403.33166666666665,1412.3143673618374,6.0,-0.36881784677653817,0.36881784677653817,-438.33166666666665,438.33166666666665,2419.99,4130.01,2419.99,20,3,0,0,6,4.724409448818897,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-156.78,156.78,3275.0,3275.0,-399.0,399.0,0.0,0.0,1.0,1.0,7.0,30.0,2419.99,2419.99,1,2,-1,1,-1,-35.0,1,-1655.0000000000002,119.18142857142853,210.0,280.0,35.0,160,120
2024-08-12,Expense,Business Lunch Meeting,-78.9,meals_entertainment,credit_card,paid,Red Lobster,https://tmsappstorage.blob.core.windows.net/receipts/55443322-1100-9988-7766-554433221100.png,2024,8,3,12,0,225,33,0,0,0,0,0,19947,6,116,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.666088855860977,-0.7458723993404063,1,8,Summer,0,1,0,0,78.9,-1.0,0,1,4.380775852772229,-4.380775852772229,8.882567196480982,-8.882567196480982,6225.210000000001,-491169.06900000013,small,0.3228346456692913,Q2,334.4414285714286,1302.080750650391,2341.09,-399.0,3275.0,3.8932998110080077,334.4414285714286,1302.080750650391,2341.09,-399.0,3275.0,3.8932998110080077,334.4414285714286,1302.080750650391,2341.09,-399.0,3275.0,3.8932998110080077,334.4414285714286,1302.080750650391,7.0,-0.4075854212280893,0.4075854212280893,-413.34142857142865,413.34142857142865,2341.0899999999997,4208.91,2341.0899999999997,10,3,0,0,9,7.086614173228346,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-35.0,35.0,-156.78,156.78,3275.0,3275.0,0.0,0.0,1.0,1.0,7.0,30.0,2341.09,2341.09,1,3,-1,1,2,-78.9,1,38.93999999999996,22.8207142857143,0.0,631.2,0.0,80,0
2024-08-13,Expense,Project Collaboration Tool,-29.99,software,credit_card,paid,Slack,https://tmsappstorage.blob.core.windows.net/receipts/88776655-4433-2211-0099-887766554433.png,2024,8,3,13,1,226,33,0,0,0,0,0,19948,7,115,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.6788204829862355,-0.734304263829602,1,9,Summer,0,1,0,0,29.99,-1.0,0,1,3.433664571799657,-3.433664571799657,5.476312628037227,-5.476312628037227,899.4001,-26973.008998999994,micro,0.1141732283464567,Q1,355.15714285714284,1293.751740645712,2486.1,-399.0,3275.0,3.6427586116889845,288.8875,1212.3586615796264,2311.1,-399.0,3275.0,4.196646312421363,288.8875,1212.3586615796264,2311.1,-399.0,3275.0,4.196646312421363,288.8875,1212.3586615796264,8.0,-0.36439357461247734,0.36439357461247734,-318.8775,318.8775,2311.1,4238.9,2311.1,16,3,0,0,15,11.811023622047244,88,69.29133858267717,99,77.95275590551181,100,78.74015748031496,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-78.9,78.9,-35.0,35.0,-156.78,156.78,-175.0,175.0,1.0,1.0,7.0,30.0,2486.1,2311.1,1,4,5,1,2,-428.99,2,2.5050000000000066,-89.00285714285711,29.99,239.92,0.0,128,16
2024-08-14,Income,Consulting Retainer August,2000.0,Unknown,Unknown,received,MainClient,Unknown,2024,8,3,14,2,227,33,0,0,0,0,0,19949,8,114,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.6913512362094071,-0.722518835873311,1,10,Summer,0,1,0,0,2000.0,1.0,1,0,7.601402334583733,7.601402334583733,44.721359549995796,44.721359549995796,4000000.0,8000000000.0,xlarge,0.8740157480314961,Q4,653.6185714285714,1409.919319209774,4575.33,-399.0,3275.0,2.157098009207733,479.0111111111112,1269.4131405047417,4311.1,-399.0,3275.0,2.6500703450494476,479.0111111111112,1269.4131405047417,4311.1,-399.0,3275.0,2.6500703450494476,479.0111111111112,1269.4131405047417,9.0,1.428266754793086,1.428266754793086,1520.9888888888888,1520.9888888888888,4311.1,6238.9,4311.1,0,0,1,1,27,21.25984251968504,27,21.25984251968504,27,21.25984251968504,27,21.25984251968504,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-29.99,29.99,-78.9,78.9,-35.0,35.0,-89.23,89.23,1.0,1.0,7.0,30.0,4575.33,4311.1,1,1,5,5,5,5275.0,2,1039.4500000000003,23.746428571428684,4000.0,16000.0,0.0,0,0
2024-08-15,Expense,Vehicle Insurance Renewal,-312.45,vehicle,bank_transfer,paid,State Farm,Unknown,2024,8,3,15,3,228,33,0,0,0,0,0,19950,9,113,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.7036774074790128,-0.7105196029692745,1,11,Summer,0,1,0,0,312.45,-1.0,0,1,5.747639857719977,-5.747639857719977,17.676255259528247,-17.676255259528247,97625.00249999999,-30502932.031124998,medium,0.7086614173228346,Q3,665.9828571428571,1399.4908252017267,4661.88,-312.45,3275.0,2.1013916652535216,399.865,1222.7040793826152,3998.65,-399.0,3275.0,3.0577922033251603,399.865,1222.7040793826152,3998.65,-399.0,3275.0,3.0577922033251603,399.865,1222.7040793826152,10.0,-0.6138306834868539,0.6138306834868539,-712.315,712.315,3998.6500000000005,6551.349999999999,3998.6500000000005,21,1,0,0,2,1.574803149606299,10,7.874015748031496,99,77.95275590551181,100,78.74015748031496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000.0,2000.0,-29.99,29.99,-78.9,78.9,-399.0,399.0,1.0,1.0,7.0,30.0,4661.88,3998.65,1,1,-1,-1,7,-312.45,1,-141.23000000000005,-230.13500000000002,937.3499999999999,2499.6,0.0,168,63
