Date,Type,Description,Amount,Category,Payment Method,Status,Reference,Receipt URL
2024-01-15,debit,Starbucks Coffee,-15.50,Food & Dining,credit_card,completed,TXN001,https://receipts.example.com/001
2024-01-15,debit,Shell Gas Station,-45.00,Transportation,credit_card,completed,TXN002,https://receipts.example.com/002
2024-01-16,credit,Salary Deposit,3500.00,Income,direct_deposit,completed,TXN003,
2024-01-16,debit,Grocery Store,-125.75,Food & Dining,debit_card,completed,TXN004,https://receipts.example.com/004
2024-01-17,debit,Netflix Subscription,-15.99,Entertainment,credit_card,completed,TXN005,
2024-01-17,debit,Electric Bill,-89.45,Utilities,bank_transfer,completed,TXN006,
2024-01-18,debit,Amazon Purchase,-67.89,Shopping,credit_card,completed,TXN007,https://receipts.example.com/007
2024-01-19,debit,Restaurant Dinner,-78.50,Food & Dining,credit_card,completed,TXN008,https://receipts.example.com/008
2024-01-20,debit,Uber Ride,-23.45,Transportation,credit_card,completed,TXN009,
2024-01-21,debit,Pharmacy,-34.67,Healthcare,debit_card,completed,TXN010,https://receipts.example.com/010
2024-01-22,credit,Freelance Payment,850.00,Income,bank_transfer,completed,TXN011,
2024-01-22,debit,Gym Membership,-45.00,Health & Fitness,credit_card,completed,TXN012,
2024-01-23,debit,Coffee Shop,-8.75,Food & Dining,cash,completed,TXN013,
2024-01-24,debit,Gas Station,-52.30,Transportation,credit_card,completed,TXN014,
2024-01-25,debit,Internet Bill,-79.99,Utilities,bank_transfer,completed,TXN015,
2024-01-26,debit,Target Shopping,-145.67,Shopping,debit_card,completed,TXN016,https://receipts.example.com/016
2024-01-27,debit,Movie Theater,-28.50,Entertainment,credit_card,completed,TXN017,
2024-01-28,debit,Lunch,-19.75,Food & Dining,credit_card,completed,TXN018,
2024-01-29,debit,Parking Fee,-12.00,Transportation,cash,completed,TXN019,
2024-01-30,credit,Investment Return,125.50,Income,bank_transfer,completed,TXN020,
2024-02-01,debit,Rent Payment,-1850.00,Housing,bank_transfer,completed,TXN021,
2024-02-02,debit,Phone Bill,-85.50,Utilities,credit_card,completed,TXN022,
2024-02-03,debit,Grocery Store,-98.45,Food & Dining,debit_card,completed,TXN023,
2024-02-04,debit,Gas Station,-48.75,Transportation,credit_card,completed,TXN024,
2024-02-05,debit,Doctor Visit,-150.00,Healthcare,debit_card,completed,TXN025,
2024-02-06,debit,Restaurant,-65.80,Food & Dining,credit_card,completed,TXN026,
2024-02-07,debit,Book Purchase,-25.99,Education,credit_card,completed,TXN027,
2024-02-08,debit,Coffee Shop,-6.50,Food & Dining,cash,completed,TXN028,
2024-02-09,debit,Clothing Store,-89.99,Shopping,credit_card,completed,TXN029,
2024-02-10,credit,Tax Refund,750.00,Income,direct_deposit,completed,TXN030,
2024-02-11,debit,Spotify Premium,-9.99,Entertainment,credit_card,completed,TXN031,
2024-02-12,debit,Lunch Meeting,-45.60,Food & Dining,credit_card,completed,TXN032,
2024-02-13,debit,Hardware Store,-78.45,Home Improvement,debit_card,completed,TXN033,
2024-02-14,debit,Valentine's Dinner,-125.00,Food & Dining,credit_card,completed,TXN034,
2024-02-15,credit,Salary Deposit,3500.00,Income,direct_deposit,completed,TXN035,
2024-02-16,debit,Grocery Store,-115.23,Food & Dining,debit_card,completed,TXN036,
2024-02-17,debit,Gas Station,-55.40,Transportation,credit_card,completed,TXN037,
2024-02-18,debit,Charity Donation,-100.00,Charity,bank_transfer,completed,TXN038,
2024-02-19,debit,Fast Food,-12.99,Food & Dining,credit_card,completed,TXN039,
2024-02-20,debit,Car Insurance,-125.50,Insurance,bank_transfer,completed,TXN040,
2024-02-21,debit,Online Course,-199.00,Education,credit_card,completed,TXN041,
2024-02-22,debit,Coffee Shop,-7.25,Food & Dining,cash,completed,TXN042,
2024-02-23,debit,Pharmacy,-28.75,Healthcare,debit_card,completed,TXN043,
2024-02-24,debit,Weekend Getaway,-350.00,Travel,credit_card,completed,TXN044,
2024-02-25,debit,Grocery Store,-87.65,Food & Dining,debit_card,completed,TXN045,
2024-02-26,debit,Gas Station,-49.80,Transportation,credit_card,completed,TXN046,
2024-02-27,debit,Home Supplies,-67.99,Home Improvement,credit_card,completed,TXN047,
2024-02-28,debit,Dinner Out,-92.50,Food & Dining,credit_card,completed,TXN048,
2024-03-01,debit,Rent Payment,-1850.00,Housing,bank_transfer,completed,TXN049,
2024-03-02,debit,Water Bill,-45.67,Utilities,bank_transfer,completed,TXN050,
2024-03-03,debit,Unusual Large Purchase,-5000.00,Shopping,credit_card,completed,TXN051,https://receipts.example.com/051
2024-03-04,debit,Coffee Shop,-5.75,Food & Dining,cash,completed,TXN052,
2024-03-05,debit,Gym Supplement,-89.99,Health & Fitness,credit_card,completed,TXN053,
2024-03-06,credit,Bonus Payment,1500.00,Income,direct_deposit,completed,TXN054,
2024-03-07,debit,Lunch,-16.50,Food & Dining,credit_card,completed,TXN055,
2024-03-08,debit,Gift Purchase,-125.00,Gifts,credit_card,completed,TXN056,
2024-03-09,debit,Gas Station,-51.25,Transportation,credit_card,completed,TXN057,
